ITEM,KGCO2_L,KGCH4_L,KGN2O_L
航空汽油,2.1981,0.000094,0.000019
航空燃油,2.3948,0.0001,0.00002
車用汽油,2.2631,0.000816,0.000261
柴油,2.606,0.000137,0.000137
煤油,2.5588,0.000107,0.000021
潤滑油,2.9462,0.000121,0.000024
液化石油氣,1.7529,0.001722,0.000006
液化天然氣,2.1139,0.003467,0.000113
